arm,alpha,kind,dataset,patient,n_pool,d_true,d_pool_median,pct
rank_signal,0.0,Dx_to_Treatment,GSE227903,4978,23,0.07285895940642963,0.11613793953109446,0.34782608695652173
rank_signal,0.0,Dx_to_Treatment,GSE227903,5750,23,0.0474648727300466,0.13402372914230926,0.043478260869565216
rank_signal,0.0,Dx_to_Treatment,GSE227903,6323,22,0.19432259054974205,0.16715837946533108,0.6818181818181818
rank_signal,0.5,Dx_to_Relapse,GSE201966,AML01,3,0.12569528755083992,0.13746163852009263,0.3333333333333333
rank_signal,0.5,Dx_to_Relapse,GSE201966,AML03,3,0.07220634159358746,0.09135388562930861,0.3333333333333333
rank_signal,0.5,Dx_to_Relapse,GSE227903,1216,23,0.059099844372771895,0.09453098203146845,0.08695652173913043
rank_signal,0.5,Dx_to_Relapse,GSE227903,1886,23,0.15633873232250012,0.15935417566908414,0.4782608695652174
rank_signal,0.5,Dx_to_Relapse,GSE227903,3853,24,0.21172155498864456,0.22695135447972914,0.375
rank_signal,0.5,Dx_to_Relapse,GSE227903,3904,23,0.07562290665976637,0.09775238503896932,0.34782608695652173
rank_signal,0.5,Dx_to_Relapse,GSE227903,40389,23,0.06041292472453565,0.088445037488395,0.21739130434782608
rank_signal,0.5,Dx_to_Relapse,GSE227903,4978,23,0.20777740995921648,0.08607636336066429,0.9565217391304348
rank_signal,0.5,Dx_to_Relapse,GSE227903,5143,24,0.04643841822414274,0.1395178089028336,0.041666666666666664
rank_signal,0.5,Dx_to_Relapse,GSE227903,5750,23,0.06946028070473814,0.08607636336066428,0.21739130434782608
rank_signal,0.5,Dx_to_Relapse,GSE227903,6323,22,0.0829636124269255,0.11117048024598461,0.13636363636363635
rank_signal,0.5,Dx_to_Treatment,GSE116256,AML328,11,0.06222096709982446,0.18721353091365542,0.0
rank_signal,0.5,Dx_to_Treatment,GSE116256,AML329,11,0.08414634260248384,0.1449472119428752,0.2727272727272727
rank_signal,0.5,Dx_to_Treatment,GSE116256,AML556,11,0.177034837217611,0.18083785931170962,0.45454545454545453
rank_signal,0.5,Dx_to_Treatment,GSE116256,AML707B,11,0.023579844418379976,0.155567980445802,0.0
rank_signal,0.5,Dx_to_Treatment,GSE227903,1216,23,0.07290824314361463,0.09453098203146845,0.21739130434782608
rank_signal,0.5,Dx_to_Treatment,GSE227903,1886,23,0.1772663580633677,0.15935417566908414,0.6521739130434783
rank_signal,0.5,Dx_to_Treatment,GSE227903,3904,23,0.1096137535292621,0.09775238503896932,0.6521739130434783
rank_signal,0.5,Dx_to_Treatment,GSE227903,40389,23,0.04645436353957217,0.088445037488395,0.13043478260869565
rank_signal,0.5,Dx_to_Treatment,GSE227903,4978,23,0.06306673897458072,0.08607636336066429,0.21739130434782608
rank_signal,0.5,Dx_to_Treatment,GSE227903,5750,23,0.05119293218132912,0.08607636336066428,0.08695652173913043
rank_signal,0.5,Dx_to_Treatment,GSE227903,6323,22,0.13072311849688906,0.11117048024598461,0.8181818181818182
rank_signal,1.0,Dx_to_Relapse,GSE201966,AML01,3,0.06135606130144584,0.06335964362573275,0.0
rank_signal,1.0,Dx_to_Relapse,GSE201966,AML03,3,0.010310497334443013,0.02870996643800581,0.0
rank_signal,1.0,Dx_to_Relapse,GSE227903,1216,23,0.03728962573142139,0.035536661936027225,0.6086956521739131
rank_signal,1.0,Dx_to_Relapse,GSE227903,1886,23,0.04629004419005126,0.0352936906987064,0.7391304347826086
rank_signal,1.0,Dx_to_Relapse,GSE227903,3853,24,0.013364307579375283,0.04870116284081169,0.125
rank_signal,1.0,Dx_to_Relapse,GSE227903,3904,23,0.026255207847423207,0.035868173284260896,0.043478260869565216
rank_signal,1.0,Dx_to_Relapse,GSE227903,40389,23,0.03751278993270829,0.045670451454184115,0.21739130434782608
rank_signal,1.0,Dx_to_Relapse,GSE227903,4978,23,0.12404106955459301,0.04716755981435042,1.0
rank_signal,1.0,Dx_to_Relapse,GSE227903,5143,24,0.007630033256177268,0.04824493969293317,0.08333333333333333
rank_signal,1.0,Dx_to_Relapse,GSE227903,5750,23,0.03980796963856823,0.029679065901109053,0.8260869565217391
rank_signal,1.0,Dx_to_Relapse,GSE227903,6323,22,0.030558668476493068,0.048690000666695196,0.45454545454545453
rank_signal,1.0,Dx_to_Treatment,GSE116256,AML328,11,0.04113600139974705,0.04938383518653981,0.18181818181818182
rank_signal,1.0,Dx_to_Treatment,GSE116256,AML329,11,0.08342034232348398,0.05796153667508441,0.7272727272727273
rank_signal,1.0,Dx_to_Treatment,GSE116256,AML556,11,0.07169391743419778,0.062386058203311244,0.6363636363636364
rank_signal,1.0,Dx_to_Treatment,GSE116256,AML707B,11,0.017361758642232848,0.0855340519869263,0.09090909090909091
rank_signal,1.0,Dx_to_Treatment,GSE227903,1216,23,0.018447836260383425,0.035536661936027225,0.043478260869565216
rank_signal,1.0,Dx_to_Treatment,GSE227903,1886,23,0.041035925128140284,0.0352936906987064,0.6956521739130435
rank_signal,1.0,Dx_to_Treatment,GSE227903,3904,23,0.022267193162409563,0.035868173284260896,0.0
rank_signal,1.0,Dx_to_Treatment,GSE227903,40389,23,0.039287330900737945,0.045670451454184115,0.2608695652173913
rank_signal,1.0,Dx_to_Treatment,GSE227903,4978,23,0.045892471175967564,0.04716755981435042,0.4782608695652174
rank_signal,1.0,Dx_to_Treatment,GSE227903,5750,23,0.025556984047316763,0.029679065901109053,0.2608695652173913
rank_signal,1.0,Dx_to_Treatment,GSE227903,6323,22,0.06059019989070213,0.048690000666695196,0.6818181818181818
